id,tool 1,tool 2,p-value,outcome
C1,DD,DFD,6.301848221392269e-08,True
C1,DD,UM,6.301848221392269e-08,True
C1,DD,NL,6.301848221392269e-08,True
C1,DFD,UM,6.301848221392269e-08,True
C1,UM,NL,6.301848221392269e-08,True
C2,DD,DFD,6.301848221392269e-08,True
C2,DD,UM,1.1215531208317287e-06,True
C2,DD,NL,6.301848221392269e-08,True
C2,DFD,UM,6.301848221392269e-08,True
C2,UM,NL,6.301848221392269e-08,True
C3,DD,DFD,6.301848221392269e-08,True
C3,DD,UM,6.301848221392269e-08,True
C3,DD,NL,6.301848221392269e-08,True
C3,DFD,UM,6.301848221392269e-08,True
C3,UM,NL,6.301848221392269e-08,True
D1,DD,DFD,6.301848221392269e-08,True
D1,DD,UM,6.301848221392269e-08,True
D1,DD,NL,6.301848221392269e-08,True
D1,DFD,UM,6.301848221392269e-08,True
D1,UM,NL,6.301848221392269e-08,True
D10,NL,DD,6.301848221392269e-08,True
D10,NL,UM,6.301848221392269e-08,True
D10,DD,UM,6.301848221392269e-08,True
D11,NL,DD,6.301848221392269e-08,True
D11,NL,UM,6.301848221392269e-08,True
D11,DD,UM,6.301848221392269e-08,True
D12,NL,UM,6.301848221392269e-08,True
D13,NL,DD,6.301848221392269e-08,True
D13,NL,UM,6.301848221392269e-08,True
D13,DD,UM,6.301848221392269e-08,True
D14,NL,DD,6.301848221392269e-08,True
D14,NL,UM,6.301848221392269e-08,True
D14,DD,UM,7.32676819947719e-08,True
D15,NL,DD,6.301848221392269e-08,True
D15,NL,UM,6.301848221392269e-08,True
D15,DD,UM,6.301848221392269e-08,True
D16,NL,DD,6.301848221392269e-08,True
D16,NL,UM,0.10458826282895559,False
D16,DD,UM,6.301848221392269e-08,True
D2,DD,DFD,6.301848221392269e-08,True
D2,DD,UM,1.7827968013624886e-07,True
D2,DD,NL,6.301848221392269e-08,True
D2,DFD,UM,6.301848221392269e-08,True
D2,UM,NL,6.301848221392269e-08,True
D3,DD,DFD,6.301848221392269e-08,True
D3,DD,UM,0.001413351160154842,True
D3,DD,NL,6.301848221392269e-08,True
D3,DFD,UM,6.301848221392269e-08,True
D3,UM,NL,6.301848221392269e-08,True
D4,DD,DFD,6.301848221392269e-08,True
D4,DD,UM,6.301848221392269e-08,True
D4,DD,NL,6.301848221392269e-08,True
D4,DFD,UM,6.301848221392269e-08,True
D4,UM,NL,6.301848221392269e-08,True
D5,DD,DFD,6.301848221392269e-08,True
D5,DD,UM,6.301848221392269e-08,True
D5,DD,NL,6.301848221392269e-08,True
D5,DFD,UM,6.301848221392269e-08,True
D5,UM,NL,6.301848221392269e-08,True
D6,DD,DFD,6.301848221392269e-08,True
D6,DD,UM,1.1215531208317287e-06,True
D6,DD,NL,6.301848221392269e-08,True
D6,DFD,UM,6.301848221392269e-08,True
D6,UM,NL,6.301848221392269e-08,True
D7,DD,DFD,6.301848221392269e-08,True
D7,DD,UM,6.301848221392269e-08,True
D7,DFD,UM,6.301848221392269e-08,True
D8,DD,DFD,6.301848221392269e-08,True
D8,DD,UM,6.301848221392269e-08,True
D8,DD,NL,6.301848221392269e-08,True
D8,DFD,UM,6.301848221392269e-08,True
D8,UM,NL,6.301848221392269e-08,True
D9,UM,NL,6.301848221392269e-08,True
M1,DD,DFD,6.301848221392269e-08,True
M1,DD,UM,6.301848221392269e-08,True
M1,DD,NL,6.301848221392269e-08,True
M1,DFD,UM,6.301848221392269e-08,True
M1,UM,NL,6.301848221392269e-08,True
M2,DD,DFD,6.301848221392269e-08,True
M2,DD,UM,6.301848221392269e-08,True
M2,DD,NL,6.301848221392269e-08,True
M2,DFD,UM,6.301848221392269e-08,True
M2,UM,NL,6.301848221392269e-08,True
M3,DD,DFD,6.301848221392269e-08,True
M3,DD,UM,6.301848221392269e-08,True
M3,DFD,UM,6.301848221392269e-08,True
R1,DD,DFD,6.301848221392269e-08,True
R1,DD,UM,6.301848221392269e-08,True
R1,DD,NL,6.301848221392269e-08,True
R1,DFD,UM,6.301848221392269e-08,True
R1,UM,NL,6.301848221392269e-08,True
R2,DD,DFD,6.301848221392269e-08,True
R2,DD,UM,6.301848221392269e-08,True
R2,DD,NL,6.301848221392269e-08,True
R2,DFD,UM,6.301848221392269e-08,True
R2,UM,NL,6.301848221392269e-08,True
R3,DD,DFD,6.301848221392269e-08,True
R3,DD,UM,6.301848221392269e-08,True
R3,DFD,UM,6.301848221392269e-08,True
R4,DD,DFD,6.301848221392269e-08,True
R4,DD,UM,6.301848221392269e-08,True
R4,DD,NL,6.301848221392269e-08,True
R4,DFD,UM,6.301848221392269e-08,True
R4,UM,NL,6.301848221392269e-08,True
R5,DD,DFD,6.301848221392269e-08,True
R5,DD,UM,6.301848221392269e-08,True
R5,DD,NL,6.301848221392269e-08,True
R5,DFD,UM,6.301848221392269e-08,True
R5,UM,NL,6.301848221392269e-08,True
R6,DD,DFD,6.301848221392269e-08,True
R6,DD,UM,6.301848221392269e-08,True
R6,DD,NL,6.301848221392269e-08,True
R6,DFD,UM,6.301848221392269e-08,True
R6,UM,NL,6.301848221392269e-08,True
R7,DD,DFD,6.301848221392269e-08,True
R7,DD,UM,6.301848221392269e-08,True
R7,DD,NL,6.301848221392269e-08,True
R7,DFD,UM,6.301848221392269e-08,True
R7,UM,NL,6.301848221392269e-08,True
U1,NL,UM,6.301848221392269e-08,True
U2,NL,UM,6.301848221392269e-08,True
